DDInter_ID_A,Drug_A,DrugBank_ID_A,DDInter_ID_B,Drug_B,DrugBank_ID_B,severity,PrimeKG_node_A,PrimeKG_node_B,mapping_method_A,mapping_method_B,PrimeKG_known_overlap
DDInter1000,Ivosidenib,DB14568,DDInter1018,Lactulose,DB00581,Moderate,4522,9255,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1045,Levamlodipine,DB09237,Moderate,4522,3206,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1051,Levobupivacaine,DB01002,Minor,4522,4104,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1063,Levosalbutamol,DB13139,Moderate,4522,4037,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1066,Lidocaine,DB00281,Minor,4522,3723,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1078,Lisdexamfetamine,DB01255,Major,4522,3942,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1081,Lithium carbonate,DB14509,Major,4522,6614,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1105,Lurbinectedin,DB12674,Moderate,4522,3251,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1111,Macitentan,DB08932,Moderate,4522,3193,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1115,Magnesium citrate,DB11110,Moderate,4522,9200,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1118,Magnesium hydroxide,DB09104,Moderate,4522,9159,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1125,Maraviroc,DB04835,Moderate,4522,4319,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1223,Mineral oil,DB11057,Moderate,4522,9773,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1242,Montelukast,DB00471,Moderate,4522,3382,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1294,Nilutamide,DB00665,Major,4522,4055,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1298,Nisoldipine,DB00401,Moderate,4522,3729,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter133,Atorvastatin,DB01076,Moderate,4522,3080,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1346,Orciprenaline,DB00816,Major,4522,6343,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1366,Oxycodone,DB00497,Major,4522,2965,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1376,Ozanimod,DB12612,Major,4522,3373,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1382,Palonosetron,DB00377,Major,4522,3879,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter141,Avanafil,DB06237,Moderate,4522,4344,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1415,Pemigatinib,DB15102,Moderate,4522,4532,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter142,Avapritinib,DB15233,Moderate,4522,4533,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1432,Perphenazine,DB00850,Major,4522,3910,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1443,Phenolphthalein,DB04824,Moderate,4522,5160,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1464,Picosulfuric acid,DB09268,Moderate,4522,9595,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1467,Pimavanserin,DB05316,Major,4522,6053,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1476,Pirbuterol,DB01291,Moderate,4522,5315,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1510,Praziquantel,DB01058,Moderate,4522,3769,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1555,Quinestrol,DB04575,Moderate,4522,5159,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1564,Ramelteon,DB00980,Moderate,4522,4102,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1581,Repaglinide,DB00912,Moderate,4522,3042,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1600,Riociguat,DB08931,Moderate,4522,3192,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1606,Ritodrine,DB00867,Major,4522,4657,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1662,Sertraline,DB01104,Major,4522,3082,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1693,Sodium sulfate,DB09472,Moderate,4522,5584,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1718,Sufentanil,DB00708,Moderate,4522,4242,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1736,Tadalafil,DB00820,Moderate,4522,3754,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1789,Thalidomide,DB01041,Moderate,4522,3389,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter182,Benzhydrocodone,DB15465,Major,4522,9816,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1825,Tofacitinib,DB08895,Moderate,4522,3190,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1860,Triazolam,DB00897,Moderate,4522,3759,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1866,Trifluoperazine,DB00831,Major,4522,3696,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1867,Triflupromazine,DB00508,Major,4522,3624,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1909,Valbenazine,DB11915,Major,4522,3833,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1921,Vasopressin,DB00067,Major,4522,5304,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1935,Vilazodone,DB06684,Moderate,4522,3992,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter1948,Vortioxetine,DB09068,Moderate,4522,3818,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter205,Bictegravir,DB11799,Moderate,4522,4447,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter212,Bisacodyl,DB09020,Moderate,4522,9140,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter254,Buspirone,DB00490,Moderate,4522,2963,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter258,Butorphanol,DB00611,Major,4522,5932,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter300,Cariprazine,DB06016,Moderate,4522,3977,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter306,Caspofungin,DB00520,Moderate,4522,4226,exact normalized-name fallback,exact normalized-name fallback,false
