Drug_A,DrugBank_ID_A,PrimeKG_node_A,Drug_B,DrugBank_ID_B,PrimeKG_node_B,mapping_method_A,mapping_method_B,source_row_count,unique_description_count,PrimeKG_train_overlap,PrimeKG_known_overlap
Acebutolol,DB01193,3936,Dipivefrin,DB00449,5626,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Echothiophate,DB01057,3073,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Hydroxyamphetamine,DB09352,9110,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Icatibant,DB06196,7359,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Latanoprost,DB00654,6218,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Leflunomide,DB01097,4107,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Levobunolol,DB01210,3938,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Lumacaftor,DB09280,3210,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Malathion,DB00772,4092,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Masoprocol,DB00179,3438,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Mycophenolate mofetil,DB00688,3747,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Mycophenolic acid,DB01024,4625,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Nafamostat,DB12598,4965,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Nepafenac,DB06802,4782,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Niflumic acid,DB04552,4626,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Pimecrolimus,DB00337,4215,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Pirfenidone,DB04951,3154,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Resveratrol,DB02709,2855,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Seratrodast,DB06739,3398,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Suprofen,DB00870,3035,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Teriflunomide,DB08880,4149,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Tibolone,DB09070,3407,exact normalized-name,exact normalized-name,1,1,False,False
Acebutolol,DB01193,3936,Zileuton,DB00744,3009,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Adapalene,DB00210,5059,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Alclometasone,DB00240,2798,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Alprostadil,DB00770,5002,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Amcinonide,DB00288,3724,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Amrubicin,DB06263,4059,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Aprepitant,DB00673,4238,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Azelastine,DB00972,3766,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Carboprost tromethamine,DB00429,5001,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Carteolol,DB00521,3888,exact normalized-name,exact normalized-name,1,1,False,False
